Mac Adress;Date_Nom;label_Balise;lat;long;Name;Description
00:18:60:71:d7:f4;23/10/2015 14:44;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:18:60:71:d7:f4;23/10/2015 15:03;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:18:60:72:db:7f;23/10/2015 10:27;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:18:60:74:54:4c;23/10/2015 14:06;JACADI;48.84767151;2.283523797;zone4;jacadi
00:18:60:74:54:4c;23/10/2015 14:21;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:18:60:74:54:4c;23/10/2015 19:28;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:1e:52:1d:09:45;23/10/2015 12:34;EXKI;48.84757996;2.283505917;zone 3;Grand Optical
00:1f:3c:2c:af:71;23/10/2015 11:44;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:1f:3c:93:13:c2;23/10/2015 14:08;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:1f:3c:93:13:c2;23/10/2015 14:23;EXKI;48.84757996;2.283505917;zone 3;Grand Optical
00:21:5d:3b:10:2e;23/10/2015 16:49;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:21:5d:3b:10:2e;23/10/2015 16:56;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:21:5d:3b:10:2e;23/10/2015 17:04;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:21:5d:3b:10:2e;23/10/2015 17:13;JACADI;48.84767151;2.283523797;zone4;jacadi
00:21:5d:3b:10:2e;23/10/2015 17:23;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:22:f4:9e:d6:50;23/10/2015 11:55;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:23:12:22:13:b6;23/10/2015 11:22;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:23:12:22:13:b6;23/10/2015 11:26;LOUIS PION;48.84797669;2.282607317;zone11;louis pion - lacoste
00:23:6c:07:95:99;23/10/2015 12:49;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:23:6c:87:d0:ee;23/10/2015 19:08;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:23:6c:93:1a:82;23/10/2015 10:49;CELIO;48.84811401;2.282833576;zone18;celio
00:23:6c:93:1a:82;23/10/2015 10:53;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:23:6c:93:1a:82;23/10/2015 11:02;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:23:6c:93:1a:82;23/10/2015 11:10;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:25:00:f7:9c:63;23/10/2015 10:25;AMERICAN VINTAGE;48.84798813;2.282802343;zone19;levi's - berenice
00:25:00:f7:9c:63;23/10/2015 11:07;AMERICAN VINTAGE;48.84798813;2.282802343;zone19;levi's - berenice
00:25:48:bb:5d:79;23/10/2015 11:44;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:25:48:bb:5d:79;23/10/2015 11:53;BERENICE;48.84782028;2.282927513;zone8;BNAIL - BERENICE
00:25:4b:8d:9e:d7;23/10/2015 18:38;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:25:4b:8d:9e:d7;23/10/2015 18:40;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:25:4b:90:b2:22;23/10/2015 11:33;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:25:bc:28:e4:1c;23/10/2015 18:50;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:25:bc:28:e4:1c;23/10/2015 18:53;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:25:bc:28:e4:1c;23/10/2015 19:03;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:25:bc:51:4d:d3;23/10/2015 16:59;DEVIALET;48.84785461;2.282766581;zone9;devialet -guerin
00:25:bc:51:4d:d3;23/10/2015 17:07;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:25:bc:51:4d:d3;23/10/2015 17:26;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:26:08:a9:49:e9;23/10/2015 19:14;ZARA;48.84843063;2.282493115;zone15;zara
00:26:08:a9:49:e9;23/10/2015 19:38;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:26:37:b3:3b:71;23/10/2015 14:04;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:26:37:b3:3b:71;23/10/2015 14:08;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:26:37:b3:3b:71;23/10/2015 14:23;ZARA;48.84843063;2.282493115;zone15;zara
00:26:37:b3:3b:71;23/10/2015 14:42;JACADI;48.84767151;2.283523797;zone4;jacadi
00:26:37:b3:3b:71;23/10/2015 19:25;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:26:37:b3:3b:71;23/10/2015 19:30;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:26:37:bb:d0:2f;23/10/2015 12:56;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:26:4a:62:e3:23;23/10/2015 16:33;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:26:4a:62:e3:23;23/10/2015 17:01;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:26:b0:80:fc:2f;23/10/2015 15:35;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:26:b0:80:fc:2f;23/10/2015 15:45;BNAILS;48.84773636;2.283097505;zone8;BNAIL - BERENICE
00:26:b0:80:fc:2f;23/10/2015 15:52;BERENICE;48.84782028;2.282927513;zone8;BNAIL - BERENICE
00:26:b0:80:fc:2f;23/10/2015 15:57;AMERICAN VINTAGE;48.84798813;2.282802343;zone19;levi's - berenice
00:26:b0:80:fc:2f;23/10/2015 16:02;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:26:b0:c9:6f:1a;23/10/2015 16:48;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:26:b0:c9:6f:1a;23/10/2015 17:07;JACADI;48.84767151;2.283523797;zone4;jacadi
00:26:bb:14:5b:37;23/10/2015 12:02;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:26:bb:14:5b:37;23/10/2015 12:29;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:26:bb:18:4a:4c;23/10/2015 13:24;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:26:bb:b9:f6:95;23/10/2015 15:01;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:26:bb:b9:f6:95;23/10/2015 15:14;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:26:bb:b9:f6:95;23/10/2015 15:37;LOUIS PION;48.84797669;2.282607317;zone11;louis pion - lacoste
00:34:56:c3:5f:76;23/10/2015 14:08;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:34:56:c3:5f:76;23/10/2015 14:42;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:34:56:c3:5f:76;23/10/2015 19:30;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:37:6d:3b:54:ef;23/10/2015 12:09;EXKI;48.84757996;2.283505917;zone 3;Grand Optical
00:37:6d:51:ac:35;23/10/2015 18:41;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:37:6d:51:ac:35;23/10/2015 18:56;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:37:6d:6d:f5:be;23/10/2015 18:43;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:37:6d:b7:b7:06;23/10/2015 11:17;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:37:6d:bd:21:8d;23/10/2015 18:29;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:37:6d:bd:21:8d;23/10/2015 18:34;ZARA;48.84843063;2.282493115;zone15;zara
00:37:6d:c5:f1:ca;23/10/2015 12:39;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:37:6d:c5:f1:ca;23/10/2015 13:16;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:37:6d:c7:a5:eb;23/10/2015 18:46;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:37:6d:e3:c1:48;23/10/2015 14:38;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:37:6d:e3:c1:48;23/10/2015 19:31;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:37:6d:e6:26:8d;23/10/2015 14:40;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:37:6d:e6:26:8d;23/10/2015 19:23;CELIO;48.84811401;2.282833576;zone18;celio
00:37:6d:e6:26:8d;23/10/2015 19:28;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:37:6d:ec:d8:6a;23/10/2015 15:12;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:37:6d:ec:d8:6a;23/10/2015 15:21;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:37:6d:ed:ee:39;23/10/2015 11:18;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:37:6d:ee:a1:80;23/10/2015 13:50;ADIDAS ORIGINALS;48.84810638;2.282475472;zone12;adidas
00:37:6d:f1:f5:b3;23/10/2015 12:53;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:37:6d:f4:d8:0c;23/10/2015 12:38;JACADI;48.84767151;2.283523797;zone4;jacadi
00:37:6d:f4:d8:0c;23/10/2015 13:15;JACADI;48.84767151;2.283523797;zone4;jacadi
00:37:6d:f6:57:e9;23/10/2015 16:46;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:37:6d:f6:57:e9;23/10/2015 16:57;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:37:6d:f6:57:e9;23/10/2015 17:19;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:66:4b:54:12:b3;23/10/2015 14:01;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:73:8d:09:6f:a0;23/10/2015 16:44;ADIDAS ORIGINALS;48.84810638;2.282475472;zone12;adidas
00:73:8d:09:6f:a0;23/10/2015 17:12;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:73:8d:12:75:8b;23/10/2015 11:40;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:73:8d:12:75:8b;23/10/2015 11:48;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:73:8d:12:75:8b;23/10/2015 11:52;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:73:8d:20:10:93;23/10/2015 16:35;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:73:8d:20:41:24;23/10/2015 14:23;ZARA;48.84843063;2.282493115;zone15;zara
00:73:8d:20:41:24;23/10/2015 19:25;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:73:8d:20:41:24;23/10/2015 19:30;CELIO;48.84811401;2.282833576;zone18;celio
00:73:8d:24:14:99;23/10/2015 16:32;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:73:8d:24:14:99;23/10/2015 16:36;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:73:8d:2b:38:5c;23/10/2015 13:29;LOUIS PION;48.84797669;2.282607317;zone11;louis pion - lacoste
00:73:8d:2e:7e:40;23/10/2015 15:10;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:73:8d:2e:7e:40;23/10/2015 15:19;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:73:8d:2e:7e:40;23/10/2015 15:37;CELIO;48.84811401;2.282833576;zone18;celio
00:73:8d:3c:93:53;23/10/2015 17:16;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:73:8d:3c:93:53;23/10/2015 17:28;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:73:8d:3c:93:53;23/10/2015 17:36;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:73:8d:4e:a5:78;23/10/2015 19:47;CELIO;48.84811401;2.282833576;zone18;celio
00:73:8d:63:82:2b;23/10/2015 16:48;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:73:8d:63:82:2b;23/10/2015 16:55;BNAILS;48.84773636;2.283097505;zone8;BNAIL - BERENICE
00:73:8d:63:82:2b;23/10/2015 17:12;ZARA;48.84843063;2.282493115;zone15;zara
00:73:8d:92:27:5d;23/10/2015 11:26;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:73:8d:92:7e:57;23/10/2015 12:55;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:73:8d:93:2a:8d;23/10/2015 12:34;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:73:e0:0b:26:04;23/10/2015 17:55;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:73:e0:0b:26:04;23/10/2015 17:58;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:73:e0:0b:68:34;23/10/2015 11:55;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:73:e0:31:16:4d;23/10/2015 16:13;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:73:e0:31:16:4d;23/10/2015 16:30;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:73:e0:63:67:0d;23/10/2015 17:35;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:73:e0:63:67:0d;23/10/2015 17:39;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:73:e0:63:67:0d;23/10/2015 17:42;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:73:e0:63:67:0d;23/10/2015 17:52;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:73:e0:64:10:73;23/10/2015 10:35;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:73:e0:8a:1c:85;23/10/2015 19:04;CELIO;48.84811401;2.282833576;zone18;celio
00:73:e0:8a:1c:85;23/10/2015 19:08;ADIDAS ORIGINALS;48.84810638;2.282475472;zone12;adidas
00:73:e0:b3:95:52;23/10/2015 12:37;DEVIALET;48.84785461;2.282766581;zone9;devialet -guerin
00:77:10:00:0a:bf;23/10/2015 17:50;CELIO;48.84811401;2.282833576;zone18;celio
00:87:0e:04:38:a9;23/10/2015 14:17;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:87:0e:04:38:a9;23/10/2015 14:27;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:87:0e:04:38:a9;23/10/2015 14:46;GUERIN JOAILLERIE;48.84787369;2.282819271;zone9;devialet -guerin
00:87:0e:04:38:a9;23/10/2015 15:04;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:88:65:03:a8:b1;23/10/2015 12:54;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:03:fe:b4;23/10/2015 13:45;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:88:65:03:fe:b4;23/10/2015 13:56;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:88:65:0a:de:50;23/10/2015 14:19;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:88:65:0a:de:50;23/10/2015 14:48;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:88:65:3c:f5:d4;23/10/2015 11:22;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:88:65:3c:f5:d4;23/10/2015 11:26;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:3c:f5:d4;23/10/2015 11:31;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:88:65:45:6f:91;23/10/2015 12:49;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:45:fd:51;23/10/2015 16:46;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:47:03:27;23/10/2015 17:46;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:88:65:47:03:27;23/10/2015 17:52;LOUIS PION;48.84797669;2.282607317;zone11;louis pion - lacoste
00:88:65:47:bc:e5;23/10/2015 15:15;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:88:65:4a:54:40;23/10/2015 14:58;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:88:65:4a:54:40;23/10/2015 15:16;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:4a:54:40;23/10/2015 15:25;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:88:65:4b:42:2b;23/10/2015 18:42;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:4b:42:2b;23/10/2015 18:47;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:88:65:87:7a:ae;23/10/2015 14:16;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:88:65:87:7a:ae;23/10/2015 14:31;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:88:65:87:7a:ae;23/10/2015 14:45;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:8c:4b:d2;23/10/2015 18:42;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:88:65:93:58:0a;23/10/2015 12:36;DEVIALET;48.84785461;2.282766581;zone9;devialet -guerin
00:88:65:94:3e:a4;23/10/2015 18:24;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:97:32:1c;23/10/2015 13:33;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:97:8f:8b;23/10/2015 12:58;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:88:65:97:b0:4b;23/10/2015 14:36;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:88:65:97:b0:4b;23/10/2015 19:24;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
00:88:65:9b:ac:87;23/10/2015 11:56;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:9c:36:c6;23/10/2015 16:55;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:9c:e6:66;23/10/2015 13:29;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:9d:99:df;23/10/2015 17:06;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:88:65:9d:99:df;23/10/2015 17:15;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:88:65:9d:99:df;23/10/2015 17:25;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:88:65:9d:9b:17;23/10/2015 13:20;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:9d:9b:17;23/10/2015 13:29;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:a0:2d:39;23/10/2015 16:44;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:88:65:a0:2d:39;23/10/2015 17:12;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:88:65:a0:9e:c4;23/10/2015 13:37;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:88:65:a0:e4:72;23/10/2015 16:49;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:88:65:a0:e4:72;23/10/2015 17:17;DEVIALET;48.84785461;2.282766581;zone9;devialet -guerin
00:88:65:a1:cd:0e;23/10/2015 16:29;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:a1:cd:0e;23/10/2015 16:39;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:a1:cd:0e;23/10/2015 16:54;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:88:65:a1:cd:0e;23/10/2015 17:11;DEVIALET;48.84785461;2.282766581;zone9;devialet -guerin
00:88:65:a2:54:6f;23/10/2015 14:39;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:a5:86:36;23/10/2015 12:22;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:a5:86:36;23/10/2015 13:02;LACOSTE;48.84802628;2.282550335;zone11;louis pion - lacoste
00:88:65:a5:cb:d3;23/10/2015 14:38;GUERIN JOAILLERIE;48.84787369;2.282819271;zone9;devialet -guerin
00:88:65:a5:cb:d3;23/10/2015 19:26;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:88:65:a5:cb:d3;23/10/2015 19:31;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:88:65:a8:ce:d6;23/10/2015 14:56;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:a8:e9:14;23/10/2015 16:46;LEVI'S;48.84805679;2.282900333;zone19;levi's - berenice
00:88:65:a8:e9:14;23/10/2015 16:51;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:a8:e9:14;23/10/2015 16:57;AMERICAN VINTAGE;48.84798813;2.282802343;zone19;levi's - berenice
00:88:65:a8:e9:14;23/10/2015 17:06;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:a8:e9:14;23/10/2015 17:24;ADIDAS ORIGINALS;48.84810638;2.282475472;zone12;adidas
00:88:65:a9:da:d0;23/10/2015 17:40;JACADI;48.84767151;2.283523797;zone4;jacadi
00:88:65:a9:da:d0;23/10/2015 17:43;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:88:65:a9:da:d0;23/10/2015 17:52;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:88:65:a9:da:d0;23/10/2015 17:56;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:aa:1c:4f;23/10/2015 16:00;ADIDAS ORIGINALS;48.84810638;2.282475472;zone12;adidas
00:88:65:aa:fd:cd;23/10/2015 18:31;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:ac:60:b7;23/10/2015 15:54;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:ac:60:b7;23/10/2015 15:59;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:ac:60:b7;23/10/2015 16:05;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:ac:60:b7;23/10/2015 16:07;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:88:65:ac:60:b7;23/10/2015 16:15;ZARA;48.84843063;2.282493115;zone15;zara
00:88:65:ad:4c:9e;23/10/2015 14:54;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:88:65:ad:4c:9e;23/10/2015 15:12;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:ad:4c:9e;23/10/2015 15:21;CECILE & JEANNE;48.84770966;2.283169031;zone7;celine & jeanne
00:88:65:ad:98:3c;23/10/2015 17:59;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:88:65:ad:98:3c;23/10/2015 18:10;GRAND OPTICAL;48.84766006;2.283632518;zone 3;Grand Optical
00:88:65:af:19:07;23/10/2015 11:55;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:af:7d:36;23/10/2015 16:09;JACADI;48.84767151;2.283523797;zone4;jacadi
00:88:65:b1:3c:90;23/10/2015 10:47;AMERICAN VINTAGE;48.84798813;2.282802343;zone19;levi's - berenice
00:88:65:b1:3c:90;23/10/2015 10:51;CELIO;48.84811401;2.282833576;zone18;celio
00:88:65:b2:c7:8a;23/10/2015 16:19;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:88:65:b2:c7:8a;23/10/2015 16:31;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:88:65:b3:7e:71;23/10/2015 16:27;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
